on_street_name,number_of_persons_injured,number_of_persons_killed,number_of_persons_harmed
32 PLACE                        ,1,0,1
228 STREET                      ,1,0,1
264 STREET                      ,1,0,1
ROGERS PLACE                    ,1,0,1
ROMA AVENUE                     ,1,0,1
SHERIDAN BOULEVARD              ,1,0,1
ROPES AVENUE                    ,1,0,1
262 PLACE                       ,1,0,1
ROSS AVENUE                     ,1,0,1
ROSSVILLE AVENUE                ,1,0,1
SHEPHERD AVENUE                 ,1,0,1
260 STREET                      ,1,0,1
SHEA STADIUM                    ,1,0,1
SHEA ROAD                       ,1,0,1
SHEA RD                         ,1,0,1
SHARROTT AVENUE                 ,1,0,1
SAINT JOHNS AVENUE              ,1,0,1
SEELEY STREET                   ,1,0,1
SEAVER AVENUE                   ,1,0,1
SAINT MARYS AVENUE              ,1,0,1
SEAGIRT AVENUE                  ,1,0,1
SEABURY STREET                  ,1,0,1
SEABURY AVENUE                  ,1,0,1
JOHN STREET                     ,1,0,1
SCHIEFELIN AVENUE               ,1,0,1
SAMPSON AVENUE                  ,1,0,1
SCHAEFER STREET                 ,1,0,1
257 STREET                      ,1,0,1
SAULL STREET                    ,1,0,1
24 ROAD                         ,1,0,1
236 STREET                      ,1,0,1
235 STREET                      ,1,0,1
RICHMOND VALLEY ROAD            ,1,0,1
REMSEN PLACE                    ,1,0,1
REON AVENUE                     ,1,0,1
31 ROAD                         ,1,0,1
REV JAMES POLITE AVE            ,1,0,1
SOUTHBOUND VAN WYCK EXPRESSWAY S,1,0,1
23 ROAD                         ,1,0,1
RICHARDS STREET                 ,1,0,1
RICHARDSON AVENUE               ,1,0,1
RICHARDSON STREET               ,1,0,1
SOUTH GANNON AVENUE             ,1,0,1
230 PLACE                       ,1,0,1
30 DRIVE                        ,1,0,1
RIDER AVENUE                    ,1,0,1
SKILLMAN STREET                 ,1,0,1
3 STREET                        ,1,0,1
RIEGALMAN BOARDWALK WEST        ,1,0,1
3 PLACE                         ,1,0,1
RIVINGTON STREET                ,1,0,1
ROBERT F WAGNER PLACE           ,1,0,1
ROBERTS AVENUE                  ,1,0,1
ROBERTSON PLACE                 ,1,0,1
ROBINSON STREET                 ,1,0,1
ROCKAWAY BLVD                   ,1,0,1
SOUTH 2 STREET                  ,1,0,1
SOUNDVIEW LANE                  ,1,0,1
ROCKAWAY POINT BLVD             ,1,0,1
PECONIC STREET                  ,1,0,1
THOMAS S BOYLAND                ,1,0,1
201 PLACE                       ,1,0,1
NICHOLS AVENUE                  ,1,0,1
60 AVENUE                       ,1,0,1
NEILL AVENUE                    ,1,0,1
WATKINS STREET                  ,1,0,1
WATKINS AVENUE                  ,1,0,1
NELSON STREET                   ,1,0,1
6 STREET                        ,1,0,1
254 STREET                      ,1,0,1
NETHERLAND AVENUE               ,1,0,1
WATERBURY AVENUE                ,0,1,1
162 AVENUE                      ,1,0,1
NEW DORP PLAZA                  ,1,0,1
59 DRIVE                        ,1,0,1
WASHINGTON SQUARE SOUTH         ,1,0,1
WASHINGTON SQUARE EAST          ,1,0,1
WASHINGTON PLACE                ,1,0,1
164 AVENUE                      ,1,0,1
165 STREET                      ,1,0,1
WARD AVENUE                     ,1,0,1
WANAMAKER PLACE                 ,1,0,1
WALTHAM STREET                  ,1,0,1
NEW STREET                      ,1,0,1
WALLOON STREET                  ,1,0,1
NEWBOLD AVENUE                  ,1,0,1
W 24 STREET                     ,1,0,1
VIRGINIA STREET                 ,0,1,1
NEWPORT AVENUE                  ,1,0,1
VINE STREET                     ,1,0,1
WAVERLY AVENUE                  ,1,0,1
60 PLACE                        ,1,0,1
NASSAU BOULEVARD                ,1,0,1
MOSEL AVENUE                    ,1,0,1
MINNIEFORD AVENUE               ,1,0,1
MOBILE AVENUE                   ,1,0,1
MOFFAT STREET                   ,1,0,1
MONITOR STREET                  ,1,0,1
150 DRIVE                       ,1,0,1
MONTICELLO AVENUE               ,1,0,1
WEST 128 STREET                 ,1,0,1
153 COURT                       ,1,0,1
158 AVENUE                      ,1,0,1
63 ROAD                         ,1,0,1
WEST 109 STREET                 ,1,0,1
MORTON PLACE                    ,1,0,1
MOSHOLU AVENUE                  ,1,0,1
WAYNE AVENUE                    ,1,0,1
MOTHER GASTON BOULEVARD         ,1,0,1
WEST 107 STREET                 ,1,0,1
WEST 106 STREET                 ,1,0,1
MOTHER GATSON STREET            ,1,0,1
WEST 103 STREET                 ,1,0,1
WEST 101 STREET                 ,1,0,1
WEST 100 STREET                 ,1,0,1
MOUNT MORRIS PARK WEST          ,1,0,1
MURRAY STREET                   ,1,0,1
WELLER AVENUE                   ,1,0,1
WELL DRIVE                      ,1,0,1
NAMEOKE STREET                  ,1,0,1
VILLAGE ROAD EAST               ,1,0,1
NOBLE AVENUE                    ,1,0,1
PATH OF PROGRESS                ,1,0,1
NOLL STREET                     ,1,0,1
OLD TOWN ROAD                   ,1,0,1
VAN WYCK EXPRESSWAY             ,1,0,1
OLGA PLACE                      ,1,0,1
OLIVER PLACE                    ,1,0,1
UXBRIDGE STREET                 ,1,0,1
UTTER AVENUE                    ,1,0,1
ONEIDA AVENUE                   ,1,0,1
OSGOOD AVENUE                   ,1,0,1
URBANA STREET                   ,1,0,1
OSTEGO STREET                   ,1,0,1
UNIVERSITY PLACE                ,1,0,1
OVERBAUGH PLACE                 ,1,0,1
OVERING STREET                  ,1,0,1
UNION HALL STREET               ,1,0,1
ULMER STREET                    ,1,0,1
TYLER AVENUE                    ,1,0,1
TUNNEL EXIT STREET              ,1,0,1
TRUXTON STREET                  ,1,0,1
194 STREET                      ,1,0,1
54 AVENUE                       ,1,0,1
198 STREET                      ,1,0,1
53 AVENUE                       ,1,0,1
1ST AVENUE                      ,1,0,1
THWAITES PLACE                  ,1,0,1
PARK HILL AVENUE                ,1,0,1
PARK ROW                        ,1,0,1
PARKVILLE AVENUE                ,1,0,1
OLD MILL ROAD                   ,1,0,1
OLD FULTON STREET               ,1,0,1
55 DRIVE                        ,1,0,1
VANNEST AVENUE                  ,1,0,1
VILLA AVENUE                    ,1,0,1
VIELE AVENUE                    ,1,0,1
VETERANS ROAD WEST              ,1,0,1
NORMAN AVENUE                   ,1,0,1
NORTH 10 STREET                 ,1,0,1
NORTH 11 STREET                 ,1,0,1
VARET STREET                    ,1,0,1
NORTH 6 STREET                  ,1,0,1
NORTH 7 STREET                  ,1,0,1
NORTH BRIDGE STREET             ,1,0,1
VANZANDT AVENUE                 ,1,0,1
NORTH CONDUIT                   ,1,0,1
VANLOON STREET                  ,1,0,1
VANCORTLANDT AVENUE WEST        ,1,0,1
NORTH END AVENUE                ,1,0,1
57 ROAD                         ,1,0,1
NORTH RAILROAD AVENUE           ,1,0,1
NORTON DRIVE                    ,1,0,1
NORWALK AVENUE                  ,1,0,1
NORWOOD AVENUE                  ,1,0,1
NURGE AVENUE                    ,1,0,1
56 AVENUE                       ,1,0,1
OAKDALE STREET                  ,1,0,1
OAKLAND AVENUE                  ,1,0,1
OAKLEY STREET                   ,1,0,1
OCEAN PROMENADE                 ,1,0,1
JOHNSON STREET                  ,1,0,1
BRUCKNER BLVD SERVICE ROAD      ,1,0,1
EAST 220 STREET                 ,1,0,1
ELLIOT PLACE                    ,1,0,1
BELFAST AVENUE                  ,1,0,1
HAMPTON AVENUE                  ,1,0,1
ELIZABETH STREET                ,1,0,1
HAMPTON PLACE                   ,1,0,1
BEEKMAN STREET                  ,1,0,1
HANCOCK PLACE                   ,1,0,1
COLONY AVENUE                   ,1,0,1
BEECH AVENUE                    ,1,0,1
HANNAH STREET                   ,1,0,1
HANNIBAL STREET                 ,1,0,1
EAST 133 STREET                 ,1,0,1
HANOVER STREET                  ,1,0,1
EGBERT AVENUE                   ,1,0,1
HARKNESS AVENUE                 ,1,0,1
BEDFORD AVE & CHURCH AVE        ,1,0,1
DODWORTH STREET                 ,1,0,1
COLDEN STREET                   ,1,0,1
COLDEN AVENUE                   ,1,0,1
HARLEM RIVER PARK               ,1,0,1
COHANCY STREET                  ,1,0,1
EDGEWOOD AVENUE                 ,1,0,1
ELK DRIVE                       ,1,0,1
BELKNAP STREET                  ,1,0,1
CLYDE STREET                    ,1,0,1
ARCHER STREET                   ,1,0,1
EAST 113 STREET                 ,1,0,1
GROSVENOR STREET                ,1,0,1
BOWERY STREET                   ,1,0,1
BOX STREET                      ,1,0,1
GURLEY AVENUE                   ,1,0,1
GUY R BREWER BLVD               ,1,0,1
GUY R BREWER BOULEVARD          ,1,0,1
HAIGHT AVENUE                   ,1,0,1
COOLIDGE AVENUE                 ,1,0,1
ELMWOOD AVENUE                  ,1,0,1
BOYNTON AVENUE                  ,1,0,1
CONTINENTAL AVENUE              ,1,0,1
ELMHURST AVENUE                 ,1,0,1
ELM PLACE                       ,1,0,1
BENNETT STREET                  ,1,0,1
BRADY AVENUE                    ,1,0,1
CONDUIT AVENUE                  ,1,0,1
BENEDICT AVENUE                 ,1,0,1
BEMENT AVENUE                   ,1,0,1
CONCORD STREET                  ,1,0,1
ELLSWORTH AVENUE                ,1,0,1
HARRING STREET                  ,1,0,1
ANDREWS STREET                  ,1,0,1
BAY 19 STREET                   ,1,0,1
BRIGHTON AVENUE                 ,1,0,1
AMPERE AVENUE                   ,1,0,1
CLAFLIN AVENUE                  ,1,0,1
BRIGHTWATER COURT               ,1,0,1
BAY 10 STREET                   ,1,0,1
HENRY PLACE                     ,1,0,1
AMITY PLACE                     ,1,0,1
EAST 155 STREET                 ,1,0,1
BRISBIN STREET                  ,1,0,1
BRITTON STREET                  ,1,0,1
HERBERT STREET                  ,1,0,1
HERING AVENUE                   ,1,0,1
HERKIMER PLACE                  ,1,0,1
AMHERST AVENUE                  ,1,0,1
BAY 11 STREET                   ,1,0,1
HERZL STREET                    ,1,0,1
BAY 13 STREET                   ,1,0,1
HETT AVENUE                     ,1,0,1
HEWES STREET                    ,1,0,1
HEYSON ROAD                     ,1,0,1
BAY 16 STREET                   ,1,0,1
BAY 17 STREET                   ,1,0,1
CLAREMONT AVENUE                ,1,0,1
HENRY HUDSON                    ,1,0,1
HARRISON PLACE                  ,1,0,1
EAST RD                         ,1,0,1
CLOVER PLACE                    ,1,0,1
BRIGHTON 10 STREET              ,1,0,1
HARROD AVENUE                   ,1,0,1
HARROD PLACE                    ,1,0,1
ED KOCH QUEENSBORO BRIDGE       ,1,0,1
HARROW STREET                   ,1,0,1
BRIGHTON 11 STREET              ,1,0,1
HARWAY AVENUE                   ,1,0,1
BEAUMONT AVENUE                 ,1,0,1
CLIFTON PLACE                   ,1,0,1
CLIFTON AVENUE                  ,1,0,1
CLEVELAND AVENUE                ,1,0,1
BRIGHTON 2 STREET               ,1,0,1
HAY STREET                      ,1,0,1
BRIGHTON 4 STREET               ,1,0,1
EASTBURN AVENUE                 ,1,0,1
CLARKSON STREET                 ,1,0,1
ANDERSON AVENUE                 ,1,0,1
HENDRICKSON STREET              ,1,0,1
BEACH FRONT ROAD                ,1,0,1
EAST 153 STREET                 ,1,0,1
CORTELYOU AVENUE                ,1,0,1
GRENFELL STREET                 ,1,0,1
CORTLANDT STREET                ,1,0,1
DRY HARBOR ROAD                 ,1,0,1
FRONT STREET                    ,1,0,1
BANCROFT PLACE                  ,1,0,1
DEVOE STREET                    ,1,0,1
DUBOIS AVENUE                   ,1,0,1
FIELDWAY AVENUE                 ,1,0,1
FULTON AVENUE                   ,1,0,1
FERRY TERMINAL DRIVE            ,1,0,1
AUGUSTINA AVENUE                ,1,0,1
FERRIS STREET                   ,1,0,1
G.C.P / L.I.E. (CDR)            ,1,0,1
G.C.P. / JEWEL (CDR)            ,1,0,1
DELMAR AVENUE                   ,1,0,1
DELAWARE STREET                 ,1,0,1
DUFFIELD STREET                 ,1,0,1
GANSEVOORT BOULEVARD            ,1,0,1
FENTON AVENUE                   ,1,0,1
DUNCAN STREET                   ,1,0,1
DEAN AVENUE                     ,1,0,1
AUBREY AVENUE                   ,1,0,1
BARCLAY CIRCLE                  ,1,0,1
GEORGE STREET                   ,1,0,1
DEWEY AVENUE                    ,1,0,1
BILLINGSLY TERRACE              ,1,0,1
GRENADA PLACE                   ,1,0,1
DEXTER COURT                    ,1,0,1
BAINBRIDGE STREET               ,1,0,1
BIRCH ROAD                      ,1,0,1
FOREST PARKWAY                  ,1,0,1
FORT GREENE PLACE               ,1,0,1
AZALEA COURT                    ,1,0,1
DONGAN PLACE                    ,1,0,1
DINSMORE PLACE                  ,1,0,1
DINSMORE AVENUE                 ,1,0,1
BIRCH AVENUE                    ,1,0,1
FLEET STREET                    ,1,0,1
DORIS STREET                    ,1,0,1
AVENUE OF SCIENCE               ,1,0,1
DOUGLASS STREET                 ,1,0,1
AVENUE OF AMERICAS              ,0,1,1
FRANKLIN ROOSEVELT DR           ,1,0,1
AVENUE F                        ,1,0,1
FISH AVENUE                     ,1,0,1
DREISER LOOP                    ,1,0,1
DREW STREET                     ,1,0,1
FRESH MEADOW LANE               ,1,0,1
DIANAS TRAIL                    ,1,0,1
GEORGIA ROAD                    ,1,0,1
DAWSON STREET                   ,1,0,1
BARCLAY STREET                  ,1,0,1
ASTORIA PARK SOUTH              ,1,0,1
CROSS BRONX EXTENTION           ,1,0,1
BARNWELL AVENUE                 ,1,0,1
CROSS BAY BLVD                  ,1,0,1
ARION PLACE                     ,1,0,1
CROSBY STREET                   ,1,0,1
BOODY STREET                    ,1,0,1
CROPSEY AVE                     ,1,0,1
CROOKE AVENUE                   ,1,0,1
BOOTH STREET                    ,1,0,1
GRANT CIRCLE                    ,1,0,1
GRANT PLACE                     ,1,0,1
CROES AVENUE                    ,1,0,1
CRAWFORD AVENUE                 ,1,0,1
CRANDALL AVENUE                 ,1,0,1
CRAIG AVENUE                    ,1,0,1
BOSTON RD                       ,1,0,1
BARRETTO STREET                 ,1,0,1
GREENWAY TERRACE                ,1,0,1
GREENWICH AVENUE                ,1,0,1
COSTER STREET                   ,1,0,1
GREENWOOD AVENUE                ,1,0,1
CROSS BRONX SERVICE ROAD        ,1,0,1
CROSS STREET                    ,1,0,1
BARNETT AVENUE                  ,1,0,1
GOETHALS ROAD NORTH             ,1,0,1
GETTYSBURG STREET               ,1,0,1
FAIRMOUNT PLACE                 ,1,0,1
FAIRMOUNT AVENUE                ,1,0,1
DARLINGTON AVENUE               ,1,0,1
GLEN STREET                     ,1,0,1
DWIGHT STREET                   ,1,0,1
ASKE STREET                     ,1,0,1
GOBLE PLACE                     ,1,0,1
CYRUS AVENUE                    ,1,0,1
BOARDWALK EAST                  ,1,0,1
ARVERNE BOULEVARD               ,1,0,1
GOLD STREET                     ,1,0,1
BARD AVENUE                     ,1,0,1
CUMMING STREET                  ,1,0,1
EXETER STREET                   ,1,0,1
GOWANUS EXPRESSWAY              ,1,0,1
CRUGER AVENUE                   ,1,0,1
EVELYN PLACE                    ,1,0,1
ASCAN AVENUE                    ,1,0,1
EAGLE AVENUE                    ,1,0,1
HICKORY AVENUE                  ,1,0,1
BAILEY AVE                      ,1,0,1
EAST 158 STREET                 ,1,0,1
CARMINE STREET                  ,1,0,1
BEACH 59 STREET                 ,1,0,1
HUGH GRANT CIRCLE               ,1,0,1
CARVER LOOP                     ,1,0,1
ALBEE SQUARE                    ,1,0,1
CARTER AVENUE                   ,1,0,1
BAYCLUB DRIVE                   ,1,0,1
HULL STREET                     ,1,0,1
CARLTON CT                      ,1,0,1
CASE STREET                     ,1,0,1
CAPUCHIN WAY                    ,1,0,1
BAYSWATER AVENUE                ,1,0,1
CANTERBURY AVENUE               ,1,0,1
ALBANY STREET                   ,1,0,1
CANEY LANE                      ,1,0,1
CANARSIE ROAD                   ,1,0,1
CAMERON PLACE                   ,1,0,1
CASANOVA STREET                 ,1,0,1
HOYT STREET                     ,1,0,1
CALYER STREET                   ,1,0,1
EAST 179                        ,1,0,1
HONE AVENUE                     ,1,0,1
BEACH 67 STREET                 ,1,0,1
HONEYWELL AVENUE                ,1,0,1
HONEYWELL STREET                ,1,0,1
EAST 8 STREET                   ,1,0,1
EAST 78 STREET                  ,1,0,1
CEDARGROVE AVENUE               ,1,0,1
EAST 75 STREET                  ,1,0,1
CASS PLACE                      ,1,0,1
CEDAR STREET                    ,1,0,1
EAST 72ND STREET & 1 AVENUE     ,1,0,1
EAST 70 STREET                  ,1,0,1
CEDAR AVENUE                    ,1,0,1
JEWETT AVENUE                   ,1,0,1
BROOKLYN BRIDGE WALKWAY         ,1,0,1
ALBERT ROAD                     ,1,0,1
CAMBRIDGE AVENUE                ,1,0,1
EAST 5 STREET                   ,1,0,1
BEACH 72 STREET                 ,1,0,1
JARVIS AVENUE                   ,1,0,1
BEACH 44 STREET                 ,1,0,1
JACKSON STREET                  ,1,0,1
BUEL AVENUE                     ,1,0,1
JACQUES AVENUE                  ,1,0,1
BEACH 25 STREET                 ,1,0,1
JANE STREET                     ,1,0,1
EAST 216 STREET                 ,1,0,1
JAVA STREET                     ,1,0,1
BURNS STREET                    ,1,0,1
ACADEMY PLACE                   ,1,0,1
BEACH 28 STREET                 ,1,0,1
ABINGDON ROAD                   ,1,0,1
JENNINGS STREET                 ,1,0,1
BEACH 42 STREET                 ,1,0,1
BEACH 36 STREET                 ,1,0,1
EAST 225 STREET                 ,1,0,1
ADAMS PLACE                     ,1,0,1
BEACH 136 STREET                ,1,0,1
HUXLEY STREET                   ,1,0,1
EAST 201 STREET                 ,1,0,1
BEACH 11 STREET                 ,1,0,1
CALLOWAY STREET                 ,1,0,1
CALDWELL AVENUE                 ,1,0,1
EAST 197 STREET                 ,1,0,1
CADMAN PLAZA EAST               ,1,0,1
EAST 199 STREET                 ,1,0,1
ILION AVENUE                    ,1,0,1
ILYSE COURT                     ,1,0,1
EAST 207 STREET                 ,1,0,1
EAST 202 STREET                 ,1,0,1
INGRAHAM STREET                 ,1,0,1
EAST 203 STREET                 ,1,0,1
EAST 4 STREET                   ,1,0,1
EAST 205 STREET                 ,1,0,1
ISHAM STREET                    ,1,0,1
BEACH 123 STREET                ,1,0,1
HOMER AVENUE                    ,1,0,1
BEACH 53 STREET                 ,1,0,1
CHATTERTON AVENUE               ,1,0,1
EAST 159 STREET                 ,1,0,1
BAY 29 STREET                   ,1,0,1
BROADWAY TERRACE                ,1,0,1
BEACH 92 STREET                 ,1,0,1
BAY 32  STREET                  ,1,0,1
BEACH 82 STREET                 ,1,0,1
CENTREVILLE AVENUE              ,1,0,1
HILLCREST STREET                ,1,0,1
BEACH 94 STREET                 ,1,0,1
HIGHLAWN AVENUE                 ,1,0,1
BAY 25 STREET                   ,1,0,1
CENTRAL PARK NORTH              ,1,0,1
BEACH 73 STREET                 ,1,0,1
CHARLESTON AVENUE               ,1,0,1
CHANNEL AVENUE                  ,1,0,1
HIGHLAND PLACE                  ,1,0,1
BAY 44 STREET                   ,1,0,1
HILLYER STREET                  ,1,0,1
BAY 35 STREET                   ,1,0,1
HOMECREST AVENUE                ,1,0,1
HILLSIDE TERRACE                ,1,0,1
HOLLY AVENUE                    ,1,0,1
CENTER DRIVE                    ,1,0,1
EAST 80 STREET & 2ND AVENUE     ,1,0,1
CHARLES AVENUE                  ,1,0,1
DUNCOMB AVENUE                  ,0,0,0
STARR AVENUE                    ,0,0,0
EAST 206 STREET                 ,0,0,0
230 STREET                      ,0,0,0
BEACH 90 STREET                 ,0,0,0
UNIVERSITY PARK                 ,0,0,0
UNIVERSITY HEIGHTS BRIDGE       ,0,0,0
DUNKIRK DRIVE                   ,0,0,0
BEVERLY ROAD                    ,0,0,0
DUER LANE                       ,0,0,0
DUFFIELD ST                     ,0,0,0
187 STREET                      ,0,0,0
184 STREET                      ,0,0,0
VALENTINE PLACE                 ,0,0,0
VALLES AVENUE                   ,0,0,0
SOUTH 6 STREET                  ,0,0,0
VAM DAM STREET                  ,0,0,0
BEACH 45 STREET                 ,0,0,0
EAST 209 STREET                 ,0,0,0
SMART STREET                    ,0,0,0
VAN BRUNT STREET                ,0,0,0
VAN BUREN STREET                ,0,0,0
235 COURT                       ,0,0,0
TROTTING COURSE LANE            ,0,0,0
SLOCUM PLACE                    ,0,0,0
BETTS AVENUE                    ,0,0,0
DUTCHESS AVENUE                 ,0,0,0
DUNNE COURT                     ,0,0,0
SOMERSET STREET                 ,0,0,0
TRYON AVENUE                    ,0,0,0
STANWIX STREET                  ,0,0,0
TUDOR PLACE                     ,0,0,0
STICKBALL BOULEVARD             ,0,0,0
TUNNEL EXIT ST                  ,0,0,0
SOUTH 10 STREET                 ,0,0,0
DUTCH KILLS STREET              ,0,0,0
STEWART STREET                  ,0,0,0
BEACH 46 STREET                 ,0,0,0
TURIN DRIVE                     ,0,0,0
STANWICH STREET                 ,0,0,0
BETHUNE STREET                  ,0,0,0
STEWART ST                      ,0,0,0
TURNBULL AVENUE                 ,0,0,0
STEWART ROAD                    ,0,0,0
EAST 154 STREET                 ,0,0,0
BEACH 91 STREET                 ,0,0,0
DURYEA COURT                    ,0,0,0
191 STREET                      ,0,0,0
DURANT AVENUE                   ,0,0,0
DUPONT STREET                   ,0,0,0
190 LANE                        ,0,0,0
UNION 112 TURNPIKE              ,0,0,0
SLATER BOULEVARD                ,0,0,0
19 ROAD                         ,0,0,0
DUNTON STREET                   ,0,0,0
DUNTON AVENUE                   ,0,0,0
SOHO DRIVE                      ,0,0,0
SOBEL COURT                     ,0,0,0
UNION SQUARE WEST               ,0,0,0
SO CONDUIT AVE                  ,0,0,0
BEAVER ROAD                     ,0,0,0
VAN CORDTLANT AVENUE            ,0,0,0
VAN CORTLAND PARK SOUTH         ,0,0,0
DONGAN STREET                   ,0,0,0
239 STREET                      ,0,0,0
238 STREET                      ,0,0,0
DORAN AVENUE                    ,0,0,0
237 STREET                      ,0,0,0
216 STREET                      ,0,0,0
EAST 162 STREET                 ,0,0,0
DORMANS ROAD                    ,0,0,0
18 STREET                       ,0,0,0
VANRIPER STREET                 ,0,0,0
VANPELT AVENUE                  ,0,0,0
DORSET STREET                   ,0,0,0
DOSCHER STREET                  ,0,0,0
VANHORN STREET                  ,0,0,0
EAST 218 STREET                 ,0,0,0
217 PLACE                       ,0,0,0
VAUGHAN STREET                  ,0,0,0
BEACH 96 STREET                 ,0,0,0
178 STREET                      ,0,0,0
176 STREET                      ,0,0,0
DOGWOOD DRIVE                   ,0,0,0
DOMINICK STREET                 ,0,0,0
SHERMAN STREET                  ,0,0,0
VERONA STREET                   ,0,0,0
VERONA PLACE                    ,0,0,0
VERNON BLVD                     ,0,0,0
EAST 22                         ,0,0,0
DONGAN AVENUE                   ,0,0,0
SHILOH AVENUE                   ,0,0,0
DONGAN HILL AVENUE              ,0,0,0
179 PLACE                       ,0,0,0
VERMONT AVENUE                  ,0,0,0
DONGAN HILLS                    ,0,0,0
DOUGLAS AVENUE                  ,0,0,0
DOUGLAS ROAD                    ,0,0,0
VANDOREN STREET                 ,0,0,0
DRYSDALE STREET                 ,0,0,0
SIMONSON AVENUE                 ,0,0,0
DRIGGS STREET                   ,0,0,0
BIDWELL AVENUE                  ,0,0,0
VAN SINDEREN                    ,0,0,0
STATE STREET                    ,0,0,0
SIMPSON STREET                  ,0,0,0
EAST 212 STREET                 ,0,0,0
VANALLEN AVENUE                 ,0,0,0
DUANE STREET                    ,0,0,0
TRINITY AVENUE                  ,0,0,0
EAST 210 STREET                 ,0,0,0
VAN COURTLANDT PARK SOUTH       ,0,0,0
DUDLEY AVENUE                   ,0,0,0
SKY LANE                        ,0,0,0
EAST 215 STREET                 ,0,0,0
BEACH 98 STREET                 ,0,0,0
VANDERVOPRT AVE                 ,0,0,0
STERLING STREET                 ,0,0,0
VANDERVOORT AV                  ,0,0,0
VANDERVEER STREET               ,0,0,0
VANDERBILT STREET               ,0,0,0
DOUGLASTON PARKWAY              ,0,0,0
DOWNES AVENUE                   ,0,0,0
182 PLACE                       ,0,0,0
VANCORTLANDT PARK WEST          ,0,0,0
VANCLEEF STREET                 ,0,0,0
DOYERS STREET                   ,0,0,0
SIDWAY PLACE                    ,0,0,0
BEACH 97 STREET                 ,0,0,0
VANCORTLANDT PARK EAST          ,0,0,0
VANCORTLANDT PARK               ,0,0,0
SILVER ROAD                     ,0,0,0
TRINITY PLACE                   ,0,0,0
TRANTOR PLACE                   ,0,0,0
DYER AVENUE                     ,0,0,0
TENNIS PLACE                    ,0,0,0
THIRD AVENUE BRIDGE             ,0,0,0
SPENCER AVENUE                  ,0,0,0
BELT PKWY                       ,0,0,0
SPENCER PLACE                   ,0,0,0
BELLAIRE PLACE                  ,0,0,0
SPENCER STREET                  ,0,0,0
SULLIVAN STREET                 ,0,0,0
EAST 121 STREET                 ,0,0,0
SPOFFORD AVENUE                 ,0,0,0
THATFORD AVENUE                 ,0,0,0
THAMES STREET                   ,0,0,0
TERRACE PLACE                   ,0,0,0
ST RAYMOND AVENUE               ,0,0,0
SPRAGUE AVENUE                  ,0,0,0
SPRATT AVENUE                   ,0,0,0
SULLIVAN PLACE                  ,0,0,0
BEACH 77 STREET                 ,0,0,0
BEARD STREET                    ,0,0,0
BEADEL STREET                   ,0,0,0
THOMPSON STREET                 ,0,0,0
THOMAS STREET                   ,0,0,0
BEACH 84 STREET                 ,0,0,0
THOMAS S BOYLAND STREET         ,0,0,0
BEACH 57 STREET                 ,0,0,0
STRYKER STREET                  ,0,0,0
BEACH 60 STREET                 ,0,0,0
BEACH 81 STREET                 ,0,0,0
EAST 180                        ,0,0,0
BENSON STREET                   ,0,0,0
SOUTHGATE STREET                ,0,0,0
212 PLACE                       ,0,0,0
SPARK PLACE                     ,0,0,0
SPARKHILL AVENUE                ,0,0,0
BEACH 64 STREET                 ,0,0,0
SUMMERFIELD AVENUE              ,0,0,0
202 STREET                      ,0,0,0
TENNIS COURT                    ,0,0,0
SWINNERTON STREET               ,0,0,0
BEACH 65 STREET                 ,0,0,0
SWAN STREET                     ,0,0,0
BEAUMONT STREET                 ,0,0,0
SUTTON PLACE SOUTH              ,0,0,0
ST JAMES PLACE                  ,0,0,0
ST JOHNS PLACE                  ,0,0,0
BEDELL LANE                     ,0,0,0
SUTTER AVE                      ,0,0,0
21 ROAD                         ,0,0,0
SUMNER PLACE                    ,0,0,0
210 STREET                      ,0,0,0
BEDELL AVENUE                   ,0,0,0
SUNNYSIDE TERRACE               ,0,0,0
SUNNYSIDE AVENUE                ,0,0,0
SWINTON AVENUE                  ,0,0,0
ST ANNE AVENUE                  ,0,0,0
SYCAMORE STREET                 ,0,0,0
BEECH TERRACE                   ,0,0,0
ST PETERS AVE                   ,0,0,0
SPRINGFIELD BLVD                ,0,0,0
BEEKMAN AVENUE                  ,0,0,0
BEECHWOOD PLACE                 ,0,0,0
TEHAMA STREET                   ,0,0,0
TECH PL                         ,0,0,0
EAST 175                        ,0,0,0
SPRITZ ROAD                     ,0,0,0
ST NICHOLAS AVE                 ,0,0,0
SUMMIT AVENUE                   ,0,0,0
BEDFORD STREET                  ,0,0,0
SPRINGHILL AVENUE               ,0,0,0
TAIPEI COURT                    ,0,0,0
TAAFFE PLACE                    ,0,0,0
SOUTH WILLIAM STREET            ,0,0,0
STRONGHURST AVENUE              ,0,0,0
TREADWELL AVENUE                ,0,0,0
220 PLACE                       ,0,0,0
EAGLE STREET                    ,0,0,0
TONSOR STREET                   ,0,0,0
SOUTH CONDUIT                   ,0,0,0
TOMPKINS PLACE                  ,0,0,0
EAMES PLACE                     ,0,0,0
STANLEY AVE                     ,0,0,0
TOMLINSON AVENUE                ,0,0,0
TOKEN STREET                    ,0,0,0
196 PLACE                       ,0,0,0
23 TERRACE                      ,0,0,0
SOUTH ELLIOTT PLACE             ,0,0,0
BEACH 51 STREET                 ,0,0,0
EAST 191 STREET                 ,0,0,0
SOUTH GOFF AVENUE               ,0,0,0
BEACH STREET                    ,0,0,0
TOTTEN AVENUE                   ,0,0,0
SOUTH BRIDGE STREET             ,0,0,0
